name,location,price,capacity,rating,reviews,description
Rustic Vows,"Mineral Bluff, GA",Not specified,51-100 Guests,5,1,"Situated in Mineral Bluff, GA, Rustic Vows offers an idyllic barn-style setting for creating bespoke wedding events."
Lake Rabun Hotel & Restaurant,"Lakemont, GA","$6,000",101-150 Guests,5,2,"Our gorgeous wedding venue, Forest Lodge Wedding and Event Center, has two covered, open-air decks."
The Ridges Resort on Lake Chatuge,"Hiawassee, GA",Not specified,201-250 Guests,4.8,49,The Ridges Resort on Lake Chatuge is the only lakeside mountain resort in Georgia.
8360 IvyLog,"Young Harris, GA","$7,000",Outdoor Event Space,New,0,No detailed description available.
Meadows at Mossy Creek,"Cleveland, GA","$6,400",251-300 Guests,5,39,"Meadows at Mossy Creek is a wedding reception venue located in Cleveland, GA."
Hawkesdene,"Andrews, NC",Not specified,101-150 Guests,5,59,"Hawkesdene is a Private Mountain Estate located in Andrews, NC in the mountains of Western North Carolina."
Windsong Willows,"Hayesville, NC","$6,200",101-150 Guests,5,3,"Nestled in the valley of the Blue Ridge Mountains, Windsong Willows is a charming new wedding venue."
GA Pines at Skull Shoals Park,"Washington, GA","$2,500",151-200 Guests,5,2,"Located in Historic Washington, GA, GA Pines at Skull Shoals Park is a 68 acre outdoor venue."
Cloudland at McLemore Resort,"Rising Fawn, GA","$30,000",251-300 Guests,4.2,6,"Your Dream Wedding, Above the Clouds At 2,300 feet above sea level, Cloudland at McLemore Resort on Lookout Mountain is a magical escape."
Tryphena's Garden,"Fort Valley, GA",$600,151-200 Guests,4.9,18,"The Venue at Tryphena's Garden is a fairytale-like wedding and events venue in Fort Valley, Georgia."
Forest Hill Park,"Perry, GA",$700,51-100 Guests,4.9,21,Have a beautiful ceremony in a picturesque 1920's white wedding chapel.
Kingsland Farm,"Hawkinsville, GA","$1,250",151-200 Guests,5,1,"Kingsland Farm is a picturesque and reclusive wedding venue in Hawkinsville, GA."
Southern Fox Winery,"Lincolnton, GA","$2,500",51-100 Guests,New,0,"Southern Fox Winery is a wedding venue located in the charming city of Lincolnton, GA."
The Icehouse Dublin,"Dublin, GA","$2,500",300+ Guests,5,1,"The Icehouse Dublin in Dublin, GA, is a unique wedding venue."
The Partridge Inn,"Augusta, GA","$5,000",101-150 Guests,3.7,3,"The Partridge Inn is a wedding venue located in Augusta, GA."
Padgett's Farm,"Waynesboro, GA",Not specified,251-300 Guests,5,1,"Padgett's Farm is a gem of a wedding venue nestled on 610 acres of breathtaking nature in Waynesboro, GA."
Quinney Oaks Plantation,"Millen, GA",Not specified,300+ Guests,4.8,18,"In Millen, GA, Quinney Oaks Plantation is a wedding venue that can make every occasion feel special."
Rumbling Bald on Lake Lure,"Lake Lure, NC",Not specified,300+ Guests,4.4,48,"Rumbling Bald on Lake Lure is the premier wedding destination located in Lake Lure, North Carolina."
